Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan,
45,2,02/01/2026,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/17DWXfXgUnFHGFk2vPaBe1A8J_ZikdoJP?usp=drive_link,,Decomposing teen numbers into a ten and some ones,1,Decomposition,Math,Amy H.,folder,,,,,,
46,2,,,FALSE,,,Recognizing Patterns in a Story,2,Pattern Recognition,ELA,Faith M.,folder,,,,,,
47,2,,,FALSE,,Skipped--CT and academic content unclear,Chores,"3, 4",Algorithms,ELD,Lori F.,folder,,,,,,
48,2,,,FALSE,,,Feeling Words,2,Abstraction,SEL,Melanie S.,folder,,,,,,
49,2,,,FALSE,,,Decomposing numbers,2,Decomposition,Math,Jen D.,folder,,,,,,
50,2,,,FALSE,,Skipped--no lesson plan,Intro to Algorithms (Mood Meter),3,Abstraction,SEL,Lori E.,folder,,,,,,
52,2,,,FALSE,,,Introduction to Pattern Recognition,2,Pattern Recognition,ELA,Amy P.,folder,,,,,,
53,2,,,FALSE,,,Decomposing Information From a Map,2,Decomposition,Science,Kathleen M.,folder,,,,,,
54,2,1/19/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1Nwu2Z4_8_GW-c1KLm6PWeVOKCDERW8Zf,,Bird Names Pattern Recognition,5,Pattern Recognition,ELA,Max S.,folder,,,,https://docs.google.com/document/d/1OSOp-6-nfizkQbq1fRD_otyHHpVjaAHnDow0NAvl6JA/edit,,
55,2,7/1/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1PhQMTrFxY9sYqvJO549-ltAahqDXsFrs,,What Happens When you Multiply a Whole Number by a Fraction?,5,Pattern Recognition,Math,Anne C,folder,,,,https://docs.google.com/document/d/1g9Bp3ZbCvGgw8pJrwAkJ6RiTYnyGRQa_ZRj8_p-sfOI/edit,,
56,2,7/13/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/18rX5f5HA9HMaBTiErVaC1JDD7EcVA9d9,,Coordinate Algorithms,5,Algorithms,Social Studies,Charlie H.,folder,,,,https://docs.google.com/document/d/11lYsMaBrl47B1C9vzSepv_WOdB-y9oIcNNRBvSU4TcA/edit,,
57,2,1/23/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1MWyOHFCPIVX2g_4adKXKrpjc6X7RrUZ6,,Abstract Narrative Writing,4,Abstraction,ELA,Estrella M.,folder,,,,https://docs.google.com/document/d/1MMAJ7q-i72qK9freE9Mb4vMO19bIYOLgKMxM71m1IeI/edit,,
58,2,1/24/2026,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1sWZK1YR-GItNWz4DWeUYj_CTykwb-UnR,,Decomposicion en las matematicas,4,Decomposition,Math,Kathleen L.,folder,,,Yes,,,
59,2,7/18/2025,Charlie Henry,TRUE,https://drive.google.com/drive/folders/1ompkc-dPmJmY9e-eWfqitDxjkwkH23xQ,,Using Abstraction to Summarize Text,4,Abstraction,ELA,Cory C,folder,,,,https://docs.google.com/document/d/1dP1Gj9Y7PtphwlF4AI-aT5ufn3664we0g31xCD76LQA/edit,,
60,3,08/21/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1EEcH1heNmEw2QpUlBWUE5qt1huURm3j1?usp=drive_link,,Decomposing CVC words,K,Decomposition,ELA,Beth L.,Folder,,,,https://docs.google.com/document/d/1jsMIKsWHTBec-CHaBmcL8OFaQuOyNjb-Gpm7gxx0548/edit,,
61,3,08/20/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1wTKaEqAquFU-Cfu2vPvPXU9Y0Dckvyv6?usp=drive_link,,I can Sound Out a Word,K,Decomposition,ELA,Lauren M.,Folder,,,,https://docs.google.com/document/d/1FLCowXAMqw1OuWHqyCuii-y9u3Gj7lEe-SuPd-PJBNE/edit,,
