Lesson ID (hardcoded),Lesson # (1-6),Date Finalized,Revised by,Ready to publish to webpage,Link to folder with updated lesson plan and materials,Notes,Lesson Title,Grade,CT Concept,Subject,Original Author,Original Folder Link,Peer Review,Comments,Has Spanish,Link to English Plan,Link to Spanish Plan
46,2,,,FALSE,,,Recognizing Patterns in a Story,2,Pattern Recognition,ELA,Faith M.,folder,,,,,,
48,2,,,FALSE,,,Feeling Words,2,Abstraction,SEL,Melanie S.,folder,,,,,,
49,2,,,FALSE,,,Decomposing numbers,2,Decomposition,Math,Jen D.,folder,,,,,,
52,2,,,FALSE,,,Introduction to Pattern Recognition,2,Pattern Recognition,ELA,Amy P.,folder,,,,,,
53,2,,,FALSE,,,Decomposing Information From a Map,2,Decomposition,Science,Kathleen M.,folder,,,,,,
64,3,,,FALSE,,,Decompose two digit math subtraction problems using addition and subtraction,2,Decomposition,Math,Faith M.,Folder,,,,,,
67,3,,,FALSE,,,Spelling Patterns,2,Pattern Recognition,ELA,Melanie S.,folder,,,,,,
68,3,,,FALSE,,,Decomposing three-digit numbers using base ten and expanded form,2,Decomposition,Math,Jen D.,folder,,,,,,
71,3,01/13/2026,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1yVMNdG_xwD-YVbY0JcgucYHEDTNjOBwr?usp=drive_link,,Step by Step- Building an Algorithm,2,Algorithms,ELA,Amy P.,folder,,,,,,
72,3,,,FALSE,,,Writing Steps for Drawing a Cat,2,Algorithms,ELA,Kathleen M.,folder,,,,,,
73,3,,,FALSE,,,Algorithm for drawing,2,Algorithms,"SEL, ELD",Staci,folder,,,,,,
84,4,,,FALSE,,,Write Key Details using Abstraction,2,Abstraction,ELA,Faith M.,Folder,,,,,,
87,4,,,FALSE,,,Introduction to Algorithms,2,Algorithms,ELA,Melanie S.,folder,,,,,,
88,4,,,FALSE,,,Decomposing Spelling Words,2,Decomposition,ELA,Jen D.,folder,,,,,,
91,4,,,FALSE,,,Fortunately,2,Pattern Recognition,ELA,Amy P.,folder,,,,,,
92,4,,,FALSE,,,Decomposing the Three Little Pigs,2,Decomposition,ELA,Kathleen M.,folder,,,,,,
93,4,08/24/2025,Shannon Wellsteed,FALSE,,Lesson Was revised and redone in 2024/25,Snowflake Patterns,2,Pattern Recognition,"SEL, ELD",Staci,folder,,,,,,
104,5,,,FALSE,,,Going west,2,Abstraction,ELA,Faith M.,folder,,,,,,
107,5,,,FALSE,,,Algorithms for Addition & Subtraction,2,Algorithms,Math,Melanie S.,folder,,,,,,
108,5,08/24/2025,Shannon Wellsteed,TRUE,https://drive.google.com/drive/folders/1qox09iD93r2YQj6BsB3bZ_HLIh_zSXVq?usp=drive_link,,Tortise and the Hare - Sequencing,2,Algorithms,ELA,Jen D.,folder,,,,,,
111,5,,,FALSE,,,Science Experiement Algorithm,2,Algorithms,Science,Amy P.,folder,,,,,,
112,5,,,FALSE,,,PR in Three Litle Pigs Chorus,2,Pattern Recognition,ELA,Kathleen M.,folder,,,,,,
113,5,,,FALSE,,,Letter Algorithms,2,Algorithms,ELA,Staci,folder,,,,,,
124,6,,,FALSE,,,The Amazing Human Body,2,Decomposition,"ELA, Science",Faith M.,folder,,,,,,
127,6,,,FALSE,,,Abstraction in informational writing,2,Abstraction,ELA,Melanie S.,folder,,,,,,
